High_Requirements,Low_Requirements,Instruction
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI in the MODIS SDP S/W shall run in the ECS production environment.",The L1A/Geolocation software shall follow the coding standards established by the MODIS project in MODIS Software Development Standards and Guidelines,"Definition: In this task, ensure the L1A/Geolocation software strictly follows the MODIS Software Development Standards and Guidelines.
Emphasis & Caution: Follow MODIS coding standards exactly.
Things to Avoid: Deviating from defined MODIS standards."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI shall be coded according to thestandards specified in the MODIS Software Development Standards and Guidelines, SDST-022 .",The L1A/Geolocation software shall use HDF Version 4.1r1 for reading and writing all HDF files.,"Definition: In this task, use HDF Version 4.1r1 to read and write all HDF files in the L1A/Geolocation software.
Emphasis & Caution: Only HDF Version 4.1r1 is allowed.
Things to Avoid: Using other HDF versions or formats."
Each software process shall perform quality checks on the input and output data and report on the degree to which the product conforms to instrument specification or science data accuracy specifications.,Shall report errors as parameter_input_status_messages in log status message file through the use of SDP functions.,"Definition: In this task, report errors as parameter_input_status_messages in the log status message file using SDP functions.
Emphasis & Caution: Use SDP functions for all error reporting.
Things to Avoid: Reporting errors outside the specified log mechanism."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI within the MODIS SDP S/W systemshall employ the Earth Science Data and Information System (ESDIS)-supplied SDPTK mandatory functions to access the DAAC production environment and services.","process input data sets with the following nominal attributes: * Time transitions, including Greenwich Meridian crossing, leap year, beginning of the year, beginning of the millennium, and/or start of data collection not on a granule boundary. * Terminator crossing , International Date Line crossing, and/or Earth pole within a granule. Day, Night, or mixed  mode data.","Definition: In this task, process input datasets covering all specified nominal temporal, spatial, and day/night conditions.
Emphasis & Caution: Ensure all listed edge cases are handled.
Things to Avoid: Ignoring any specified transition or mode."
"A PGE is a script which executes one or more MODIS software processes within the ECS environment greenwich meridian.  Each PGE shall be provided with one or more sets of production rules, which specify the inputs, outputs, and activation conditions for the PGE.",Shall verify that the Spacecraft_indicator contained in the Level1A_Parameters is consistent with the Spacecraft_indicator found in the Level 0 file header.,"Definition: In this task, verify that the Spacecraft_indicator in Level1A_Parameters matches the indicator in the Level 0 file header.
Emphasis & Caution: Indicators must be consistent.
Things to Avoid: Skipping or bypassing the verification."
Each MODIS standard product shall contain the MODIS product file name for all input product files as ECS archive metadata.,"Shall create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A_data product, using Level0_open_metadata and selected metadata contained in MODIS_scan.","Definition: In this task, generate ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A data product using the specified metadata sources.
Emphasis & Caution: Use Level0_open_metadata and selected MODIS_scan metadata only.
Things to Avoid: Using incorrect or incomplete metadata sources."
All searchable product-specific metadata in MODIS standard products shall be formatted as specified in DID 311.,"Shall create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A_data product, using Level0_open_metadata and selected metadata contained in MODIS_scan.","Definition: In this task, generate ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A data product using the specified metadata sources.
Emphasis & Caution: Metadata must be created for every completed product.
Things to Avoid: Omitting metadata generation."
Each software process shall trap and properly process all exceptions that may produce an abnormal terminationand report all such events using the SDPTK error message functions.,Shall write L0_open_log_msgs to Log_messages when errors occur in the Open_Level0_file process.,"Definition: In this task, write L0_open_log_msgs to Log_messages when errors occur during the Open_Level0_file process.
Emphasis & Caution: Log messages only when errors occur.
Things to Avoid: Failing to log errors in the specified process."
A PGE is a script which executes one or more MODIS software processes within the ECS environment.  The SDST shall integrate all software processes available to the SDST software integration team into a set of PGEs that execute all processes in the MODIS TLCF.,Shall write L0_open_log_msgs to Log_messages when errors occur in the Open_Level0_file process.,"Definition: In this task, write L0_open_log_msgs to Log_messages when errors occur during the Open_Level0_file process.
Emphasis & Caution: Ensure correct message routing.
Things to Avoid: Writing logs to incorrect destinations."
Each MODIS standard data product shall be produced within the data volume and processing load allocation shown in Table B-1.,"Shall create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A_data product, using Level0_open_metadata and selected metadata contained in MODIS_scan.","Definition: In this task, generate ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A data product using the specified metadata sources.
Emphasis & Caution: Metadata content must be accurate and complete.
Things to Avoid: Creating metadata with missing or wrong fields."
Each software process shall perform quality checks on the input and output data and report on the degree to which the product conforms to instrument specification or science data accuracy specifications.,Shall detect corrupt converted_instrument_scan_data.converted_mirror_encoder_data.,"Definition: In this task, detect corrupt converted_instrument_scan_data.converted_mirror_encoder_data.
Emphasis & Caution: Ensure corruption is correctly identified.
Things to Avoid: Missing or ignoring corrupt data."
Each MODIS standard product shall contain the MODIS product file name for all input product files as ECS archive metadata.,The L1A/Geolocation software shall use all applicable mandatory SDPTK 5.2 routines and any additional SDPTK routines that are useful.,"Definition: In this task, use all mandatory SDPTK 5.2 routines and any additional useful SDPTK routines in the L1A/Geolocation software.
Emphasis & Caution: Mandatory SDPTK 5.2 routines must be included.
Things to Avoid: Omitting required SDPTK routines."
Each Software process shall handle input data sets with the following error attributes: Wrong format input files.,Shall generate data_input_status_messages if errors are encountered in reading Level_1B_Data.,"Definition: In this task, generate data_input_status_messages when errors occur while reading Level_1B_Data.
Emphasis & Caution: Generate messages only upon read errors.
Things to Avoid: Failing to report read errors."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI within the MODIS SDP S/W systemshall employ the Earth Science Data and Information System (ESDIS)-supplied SDPTK mandatory functions to access the DAAC production environment and services.",The L1A/Geolocation software shall use all applicable mandatory SDPTK 5.2 routines and any additional SDPTK routines that are useful.,"Definition: In this task, use all mandatory SDPTK 5.2 routines and any additional useful SDPTK routines in the L1A/Geolocation software.
Emphasis & Caution: Compliance with SDPTK 5.2 is required.
Things to Avoid: Using unsupported toolkits."
"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI shall be coded according to thestandards specified in the MODIS Software Development Standards and Guidelines, SDST-022 .",The L1A/Geolocation software shall follow the coding standards established by the MODIS project in MODIS Software Development Standards and Guidelines,"Definition: In this task, follow the MODIS Software Development Standards and Guidelines when coding the L1A/Geolocation software.
Emphasis & Caution: Adhere strictly to MODIS standards.
Things to Avoid: Deviating from defined coding guidelines."
Each MODIS Standard Product shall contain ECS core metadata with the content and format specified in DID 311.,Shall verify that the Spacecraft_indicator contained in the Level1A_Parameters is consistent with the Spacecraft_indicator found in the Level 0 file header.,"Definition: In this task, verify that the Spacecraft_indicator in Level1A_Parameters matches the indicator in the Level 0 file header.
Emphasis & Caution: Indicators must be consistent.
Things to Avoid: Skipping the consistency check."
