Header,Description,Example
Lynn-Vonder-Haar-2_jpg.rf.f58ac64b15f8798a6eca50d68cecc0a0,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
Lynn-Vonder-Haar_jpg.rf.fb5bd579f8e0cf5fe5a64e30f155b448,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
adempiere_jpg.rf.3821955cad93dae87116fa6ab48b00ee,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
agilemodeling2_jpg.rf.e56159f30b7be7982a91d1d4c1a64914,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
businessanalyst_jpg.rf.7ca32bd970aa74912b5057bf4f59d98f,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
chegg2_jpg.rf.317b6a8adff97dbe5c19aa00af8c7c00,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
chegg_jpg.rf.a06f551413a144570b05f9146fed99ec,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
chowdera_jpg.rf.837953001a0ddd789c5c81130425ff3e,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
conceptdraw_jpg.rf.6e24b330a3bd9ded39837a375f312a10,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
core_jpg.rf.aba2963ccf523366331b40837b9ace22,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
creately2_jpg.rf.e8eb52ba5306b991eae678a929e3886e,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
creately_jpg.rf.d818bc494dd8af8b764338840a8d24d6,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
cs2103_jpg.rf.5f1775af387aafea24705cf65798906a,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
csci_jpg.rf.5fc079ac4ddc243f8eb35e574b47c04a,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
diagramo_jpg.rf.736c37203c5f1c42e034f1831e641e21,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
doughughes2_jpg.rf.3b60e93ab63dbb5930aabbca9fbcf986,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
doughughes_jpg.rf.1cd171f8f7a119738adefbb9b74f03d3,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
edrawsoft_jpg.rf.0516736aa385a9003fb2ada5339badda,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
firewallteam6_jpg.rf.9e87f792fc1403e6df0b06a023aa1dbb,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
flylib_jpg.rf.09f24d3b1e7e7d0e65179b8b07a6e8f2,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
flylib_jpg.rf.5c07cdcd19b0e501a96178e840f3c9d2,"{""actors"": [], ""use_cases"": [], ""system_boundary"": {}, ""relationships"": [], ""overall_description"": """"}",
