Header,Description,Instruction
9,"{""description"": ""A colorful bento box meal featuring broccoli, meatballs, a cookie, sliced almonds, a slice of bread, and pineapple chunks."", ""details"": {""objects"": [""broccoli"", ""meatballs"", ""cookie"", ""almonds"", ""bread"", ""pineapple""], ""scene"": ""indoor scene"", ""spatial_info"": {""broccoli"": ""yellow container"", ""meatballs"": ""yellow container"", ""cookie"": ""pink container"", ""almonds"": ""pink container"", ""bread"": ""pink container"", ""pineapple"": ""pink container""}}, ""confidence"": 0.9547716549509023, ""recognition_status"": ""success"", ""processing_time"": 9.594801664352417}","Definition: In this task, draw tight bounding boxes around all ""broccoli"", ""meatballs"", ""cookie"", ""almonds"", ""bread"", and ""pineapple"".
Emphasis & Caution: Note items placed in the ""yellow container"" and ""pink container"".
Things to Avoid: -"
309,"{""description"": ""A large teddy bear lies on a grassy field, with a smaller dog standing in the background, both under a bright, sunlit sky."", ""details"": {""objects"": [""Large teddy bear"", ""Small dog""], ""scene"": ""Outdoor"", ""spatial_info"": {""teddy_bear"": ""Foreground, lying on grass"", ""dog"": ""Background, standing on grass""}}, ""confidence"": 0.9366939215193025, ""recognition_status"": ""success"", ""processing_time"": 6.872950553894043}","Definition: In this task, draw tight bounding boxes around the ""Large teddy bear"".
Emphasis & Caution: Focus on the large subject lying on grass in the foreground.
Things to Avoid: Do not annotate the ""Small dog"" or the sky."
540,"{""description"": ""A Japan Airlines aircraft is captured during takeoff, with a busy urban landscape featuring highways, buildings, and industrial structures in the background."", ""details"": {""objects"": [""Japan Airlines airplane"", ""highways"", ""buildings"", ""trees"", ""industrial facilities""], ""scene"": ""urban street"", ""spatial_info"": {""airplane"": ""center"", ""highways"": ""below the airplane"", ""buildings"": ""surrounding the area"", ""trees"": ""interspersed along the highways"", ""industrial facilities"": ""in the distance""}}, ""confidence"": 0.9414199685157036, ""recognition_status"": ""success"", ""processing_time"": 9.434067249298096}","Definition: In this task, draw tight bounding boxes around the ""Japan Airlines airplane"".
Emphasis & Caution: The airplane is centered and elevated during takeoff.
Things to Avoid: Do not annotate ""highways"", ""buildings"", ""trees"", or ""industrial facilities""."
735,"{""description"": ""A woman is cutting a large, decorated cake at an indoor event."", ""details"": {""objects"": [""woman wearing glasses and a beige blazer"", ""large rectangular cake with various toppings"", ""tray holding the cake"", ""plates stacked on a table"", ""decorative wall paneling"", ""chair with a dark jacket draped over it""], ""scene"": ""indoor scene"", ""spatial_info"": {""woman"": ""standing behind the cake, cutting it"", ""cake"": ""centered on a table covered with a red cloth"", ""plates"": ""stacked on a table to the right of the cake"", ""chair"": ""to the left of the image, partially visible""}}, ""confidence"": 0.927889029250642, ""recognition_status"": ""success"", ""processing_time"": 10.64983868598938}","Definition: In this task, draw tight bounding boxes around the ""woman wearing glasses and a beige blazer"" and the ""large rectangular cake with various toppings"".
Emphasis & Caution: The woman is standing behind the cake, which is centered on the table.
Things to Avoid: Do not annotate the ""tray holding the cake"", ""plates stacked on a table"", ""decorative wall paneling"", or the ""chair with a dark jacket draped over it""."
996,"{""description"": ""Two giraffes are standing in an outdoor enclosure surrounded by trees and a fence."", ""details"": {""objects"": [""two giraffes"", ""trees"", ""fence"", ""enclosure""], ""scene"": ""outdoor enclosure"", ""spatial_info"": {""giraffes"": [""standing""], ""trees"": [""surrounding""], ""fence"": [""behind""]}}, ""confidence"": 0.9619585313328887, ""recognition_status"": ""success"", ""processing_time"": 7.1610636711120605}","Definition: In this task, draw tight bounding boxes around all ""two giraffes"".
Emphasis & Caution: Focus on the standing animals in the enclosure.
Things to Avoid: Do not annotate ""trees"", ""fence"", or the ""enclosure""."
1238,"{""description"": ""A group of elephants, including adults and a calf, are standing close together in an outdoor setting."", ""details"": {""objects"": [""elephants"", ""calf""], ""scene"": ""outdoor"", ""spatial_info"": {""adults"": [""left"", ""center""], ""calf"": [""center-left""]}}, ""confidence"": 0.9495372251954949, ""recognition_status"": ""success"", ""processing_time"": 5.851351499557495}","Definition: In this task, draw tight bounding boxes around all ""elephants"" and the ""calf"".
Emphasis & Caution: Note adults on the left and center, and the calf at center-left.
Things to Avoid: -"
1455,"{""description"": ""A partially eaten donut sits in an open box on a kitchen counter, surrounded by various items including a watermelon, a bottle of sauce, and some packaged food."", ""details"": {""objects"": [""Open donut box"", ""Partially eaten donut"", ""Watermelon"", ""Bottle of sauce"", ""Stacked paper plates"", ""Packaged food"", ""Kitchen counter""], ""scene"": ""Indoor scene"", ""spatial_info"": {""open donut box"": ""Foreground, left side"", ""partially eaten donut"": ""Inside the box"", ""watermelon"": ""Top right corner"", ""bottle of sauce"": ""Center background"", ""stacked paper plates"": ""Right side"", ""packaged food"": ""Left side"", ""kitchen counter"": ""Background""}}, ""confidence"": 0.9516491607234241, ""recognition_status"": ""success"", ""processing_time"": 12.562767744064331}","Definition: In this task, draw tight bounding boxes around the ""Partially eaten donut"".
Emphasis & Caution: Located inside the ""Open donut box"" in the foreground.
Things to Avoid: Do not annotate ""Watermelon"", ""Bottle of sauce"", ""Stacked paper plates"", ""Packaged food"", or ""Kitchen counter""."
1682,"{""description"": ""A serene coastal scene featuring clear waters, a sailboat, and distant mountains under a clear sky."", ""details"": {""objects"": [""Sailboat"", ""Buoy"", ""Clear water"", ""Distant mountains"", ""Sky""], ""scene"": ""Coastal"", ""spatial_info"": {""Sailboat"": ""Center-right"", ""Buoy"": ""Center-right"", ""Clear water"": ""Foreground"", ""Distant mountains"": ""Background"", ""Sky"": ""Top""}}, ""confidence"": 0.9565350084950077, ""recognition_status"": ""success"", ""processing_time"": 8.42213749885559}","Definition: In this task, draw tight bounding boxes around the ""Sailboat"".
Emphasis & Caution: Positioned at center-right on clear water.
Things to Avoid: Do not annotate ""Buoy"", ""Clear water"", ""Distant mountains"", or ""Sky""."
1912,"{""description"": ""A group of shorebirds foraging in a wet, muddy tidal flat with a few seagulls nearby."", ""details"": {""objects"": [""shorebirds"", ""seagulls"", ""tidal flat""], ""scene"": ""natural outdoor setting"", ""spatial_info"": {""shorebirds"": [{""position"": ""left""}, {""position"": ""center""}, {""position"": ""right""}], ""seagulls"": [{""position"": ""foreground""}, {""position"": ""background""}]}}, ""confidence"": 0.9548361347102995, ""recognition_status"": ""success"", ""processing_time"": 8.494442224502563}","Definition: In this task, draw tight bounding boxes around all ""shorebirds"".
Emphasis & Caution: Birds are spread across left, center, and right areas.
Things to Avoid: Do not annotate ""seagulls"" or the ""tidal flat""."
2217,"{""description"": ""A luxurious bathroom featuring a large vanity, a bathtub, and a walk-in closet."", ""details"": {""objects"": [""Double sink vanity"", ""Large mirror"", ""Bathtub"", ""Tile flooring"", ""Wooden cabinets"", ""Painted wall"", ""Closet door"", ""Towel rack"", ""Soap dispenser"", ""Artwork""], ""scene"": ""Indoor scene"", ""spatial_info"": {""vanity"": ""Left side"", ""bathtub"": ""Center-right"", ""closet"": ""Right side"", ""mirror"": ""Above vanity"", ""towel rack"": ""On left wall"", ""artwork"": ""On wall above bathtub""}}, ""confidence"": 0.9279668929737852, ""recognition_status"": ""success"", ""processing_time"": 10.984419584274292}","Definition: In this task, draw tight bounding boxes around the ""Double sink vanity"" and the ""Bathtub"".
Emphasis & Caution: Vanity on the left side and bathtub at center-right.
Things to Avoid: Do not annotate ""Large mirror"", ""Tile flooring"", ""Wooden cabinets"", ""Painted wall"", ""Closet door"", ""Towel rack"", ""Soap dispenser"", or ""Artwork""."
