High_Requirements,Low_Requirements,Instruction
The system shall allow a user to foward notification to someone else at the site,The system shall allow the provider to redirect the notification concerning orders requiring signature to another provider,"Definition: In this task, describe how the system enables a provider to redirect order-signature notifications to another provider.
Emphasis & Caution: Ensure the redirection applies only to orders requiring signature.
Things to Avoid: Do not include non-signature notifications."
The system shall allow a user to foward notification to someone else at the site,The system shall provide the ability to permit an ordering clinician to forward all (current and future) expiring order notifications to another clinician,"Definition: In this task, describe how the system allows an ordering clinician to forward all current and future expiring order notifications to another clinician.
Emphasis & Caution: Include both existing and future notifications.
Things to Avoid: Do not limit forwarding to a single order."
The system shall allow complete order sets to be predefined and personalized,The system shall provide the ability to customize clinical templates,"Definition: In this task, describe how the system allows users to customize clinical templates.
Emphasis & Caution: Customization must be user-configurable.
Things to Avoid: Do not describe fixed or non-editable templates."
The system shall allow complete order sets to be predefined and personalized,The system shall provide the ability to display for selection a secondary,"Definition: In this task, describe how the system displays a secondary option for user selection.
Emphasis & Caution: The secondary option must be selectable.
Things to Avoid: Do not assume the content of the secondary option."
The system shall allow creation of personalized templates to fit the specific needs of individual practices,The system shall provide the ability to customize clinical templates,"Definition: In this task, describe how the system allows users to customize clinical templates.
Emphasis & Caution: Customization must be flexible and repeatable.
Things to Avoid: Do not duplicate system-wide defaults only."
The system shall allow creation of personalized templates to fit the specific needs of individual practices,The system shall provide the ability to individualize alerts to address a patient's specific clinical situation,"Definition: In this task, describe how the system individualizes alerts for a patient¡¯s specific clinical situation.
Emphasis & Caution: Alerts must be patient-specific.
Things to Avoid: Do not describe generic, non-specific alerts."
The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles,The system shall provide the ability to create and assign tasks by user or user role,"Definition: In this task, describe how the system enables creating and assigning tasks by individual user or user role.
Emphasis & Caution: Support both user-based and role-based assignment.
Things to Avoid: Do not restrict assignment to a single method."
The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles,The system shall provide the ability to identify the identity of the cosigning author of a note and record the date and time of original author and identity of signature,"Definition: In this task, describe how the system identifies the cosigning author of a note and records authorship, signature identity, date, and time.
Emphasis & Caution: Capture both original author and cosigner details with timestamps.
Things to Avoid: Do not omit identity or time records."
The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles,The system shall provide the ability to index and retrieve scanned documents based on the document type,"Definition: In this task, describe how the system indexes and retrieves scanned documents by document type.
Emphasis & Caution: Retrieval must be based on document type.
Things to Avoid: Do not rely on manual searching only."
The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure,The system shall provide the ability to export structured data which removes those identifiers listed in the HIPAA definition of a limited dataset. This export on hardcopy and electronic output shall leave the actual PHI data unmodified in the original record,"Definition: In this task, describe how the system exports structured data with HIPAA limited dataset identifiers removed while keeping original PHI unchanged.
Emphasis & Caution: Remove only the specified identifiers and preserve original records.
Things to Avoid: Do not modify or delete original PHI data."
The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure,The system shall provide the ability to present a list of tasks by user or user role,"Definition: In this task, describe how the system presents a list of tasks by user or by user role.
Emphasis & Caution: Ensure both user-based and role-based views are supported.
Things to Avoid: Do not mix tasks without clear user or role distinction."
The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure,The system shall support removal of a user?s privileges without deleting the user from the system. The purpose of the criteria is to provide the ability to remove a user?s privileges,"Definition: In this task, describe how the system removes a user¡¯s privileges without deleting the user account.
Emphasis & Caution: The user record must remain intact.
Things to Avoid: Do not delete or deactivate the user entirely."
The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile,The system shall provide the ability to maintain a discrete list of orderable medications,"Definition: In this task, describe how the system maintains a discrete list of orderable medications.
Emphasis & Caution: The list must be clearly separated and manageable.
Things to Avoid: Do not include non-orderable items."
The system shall allow other VistA applications to access the user class file to determine the role of an employee,The system shall provide the ability to access reports outside the EHR application,"Definition: In this task, describe how the system allows access to reports outside the EHR application.
Emphasis & Caution: Access must function independently of the EHR interface.
Things to Avoid: Do not require opening the EHR application."
The system shall allow other VistA applications to access the user class file to determine the role of an employee,The system will provide secure remote access to patient data without the need to pre-load an application,"Definition: In this task, describe how the system provides secure remote access to patient data without pre-loading an application.
Emphasis & Caution: Access must be secure and browser-based or equivalent.
Things to Avoid: Do not require prior installation."
The system shall allow other VistA applications to access the user class file to determine the role of an employee,If role-based access control (RBAC) is supported,"Definition: In this task, describe how the system behaves when role-based access control (RBAC) is supported.
Emphasis & Caution: Access must align strictly with assigned roles.
Things to Avoid: Do not grant permissions outside defined roles."
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients,The system shall associate (store and link) key identifier information (e.g.,"Definition: In this task, describe how the system associates, stores, and links key identifier information.
Emphasis & Caution: Identifiers must remain consistently linked.
Things to Avoid: Do not store identifiers without linkage."
The system shall allow several orders to be placed with the ability for a user to sign for them all at once,For each order type,"Definition: In this task, describe how the system handles requirements for each order type.
Emphasis & Caution: Address order-type-specific behavior.
Things to Avoid: Do not treat all order types identically if differences are required."
The system shall allow user classes to be defined hospital-wide or more narrowly for a specific service,If the system archives health record information,"Definition: In this task, describe how the system archives health record information.
Emphasis & Caution: Archived data must remain retrievable.
Things to Avoid: Do not permanently delete archived records."
The system shall allow user classes to be used across VistA to replace and/or complement security keys,The system shall associate (store and link) key identifier information (e.g.,"Definition: In this task, describe how the system associates, stores, and links key identifier information.
Emphasis & Caution: Ensure accurate and consistent identifier linkage.
Things to Avoid: Do not duplicate or mismatch identifiers."
The system shall allow users to enter time in several different formats,The system shall have the ability to format for export recorded time stamps using UTC based on ISO 8601.? Example: 1994-11-05T08:15:30-05:00 corresponds to November 5,"Definition: In this task, describe how the system exports recorded timestamps formatted in UTC using ISO 8601.
Emphasis & Caution: Use UTC and ISO 8601 format only.
Things to Avoid: Do not use local time or non-ISO formats."
The system shall allow users who hold any of the ORES/ORELSE/PROVIDER keys to be viewed as a clinical user and has full access privileges to all problem list options,If role-based access control (RBAC) is supported,"Definition: In this task, describe how the system enforces access when role-based access control (RBAC) is supported.
Emphasis & Caution: Permissions must strictly follow roles.
Things to Avoid: Do not allow role overrides."
The system shall capture history of received immunizations,The system shall provide the ability to display CCD documents,"Definition: In this task, describe how the system displays CCD documents.
Emphasis & Caution: Ensure documents are viewable.
Things to Avoid: Do not require external tools to view."
The system shall display a box listing possible matches if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers,The system shall provide the ability to query for a patient by more than one form of identification,"Definition: In this task, describe how the system allows querying a patient using multiple identifiers.
Emphasis & Caution: Support more than one identifier type.
Things to Avoid: Do not limit search to a single identifier."
The system shall display a box listing possible matches if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers,The system shall provide the ability to send a query to coordinate patient identification,"Definition: In this task, describe how the system sends queries to coordinate patient identification.
Emphasis & Caution: Queries must support identification matching.
Things to Avoid: Do not perform local-only identification."
The system shall display a message indicating the patient?s ability to pay for medical services must be evaluated,The system shall have the ability to provide assistance with selecting an appropriate CPT Evaluation and Management billing code based on codified clinical information in the encounter,"Definition: In this task, describe how the system assists in selecting appropriate CPT E&M billing codes based on coded encounter data.
Emphasis & Caution: Use codified clinical information only.
Things to Avoid: Do not rely on free-text input."
The system shall have pre-defined progress note templates,The system shall provide the ability to customize clinical templates,"Definition: In this task, describe how the system allows customization of clinical templates.
Emphasis & Caution: Customization must be user-configurable.
Things to Avoid: Do not restrict templates to fixed formats."
The system shall implement a user class hierarchy to identify the roles that different users fulfill within the hospital,The system shall allow authorized users to update the directory,"Definition: In this task, describe how authorized users update the directory.
Emphasis & Caution: Only authorized users may update.
Things to Avoid: Do not allow unauthorized changes."
The system shall implement a user class hierarchy to identify the roles that different users fulfill within the hospital,The system shall provide the ability to create and assign tasks by user or user role,"Definition: In this task, describe how the system creates and assigns tasks by user or by user role.
Emphasis & Caution: Support both assignment methods.
Things to Avoid: Do not restrict to one assignment type."
The system shall implement a user class hierarchy to identify the roles that different users fulfill within the hospital,The system shall provide the ability to identify all users who have accessed an individual's chart over a given time period,"Definition: In this task, describe how the system identifies all users who accessed an individual¡¯s chart within a specified time period.
Emphasis & Caution: Include user identity and time range.
Things to Avoid: Do not omit access records."
The system shall improve accessibility of online clinical information and results,The system shall provide protection to maintain the integrity of clinical data during concurrent access,"Definition: In this task, describe how the system protects clinical data integrity during concurrent access.
Emphasis & Caution: Prevent data conflicts or overwrites.
Things to Avoid: Do not allow uncontrolled simultaneous edits."
