High_Requirements,Low_Requirements,Instruction
Fluid Subsystem: Drug Reservoir The drug reservoir holds liquid drug until infused,drug reservoir. The drug reservoir holds liquid pain-killer supplied by the hospital pharmacy and loaded into the PCA pump by the clinician,"Definition: In this task, describe the drug reservoir that stores liquid pain medication supplied by the hospital pharmacy and loaded by a clinician.
Emphasis & Caution: Identify storage purpose and authorized loading only.
Things to Avoid: Adding usage steps or non-clinical loading sources."
Fluid Subsystem: Drug Reservoir The drug reservoir holds liquid drug until infused,reservoir contents. The drug reservoir shall measure its contents,"Definition: In this task, specify that the drug reservoir measures its own contents.
Emphasis & Caution: Measurement capability must be explicit.
Things to Avoid: Describing estimation or external measurement methods."
Fluid Subsystem: Drug Reservoir The drug reservoir holds liquid drug until infused,reservoir tolerance. The measured drug volume shall be within Vrt = 1 ml of the actual drug volume,"Definition: In this task, state the required accuracy of reservoir volume measurement within ¡À1 ml of actual volume.
Emphasis & Caution: Tolerance is exactly Vrt = 1 ml.
Things to Avoid: Using different units or tolerances."
Fluid Subsystem: Drug Reservoir The drug reservoir holds liquid drug until infused,low-reservoir warning. If the drug volume in the reservoir measures less than Vlra = 1 ml and an infusion is in progress a low-reservoir warning shall be issued,"Definition: In this task, define when a low-reservoir warning is issued during infusion.
Emphasis & Caution: Trigger only if volume < 1 ml and infusion is in progress.
Things to Avoid: Triggering warning outside these conditions."
Fluid Subsystem: Drug Reservoir The drug reservoir holds liquid drug until infused,empty-reservoir alarm. If the drug volume in the reservoir measures less than Vers =0.5 ml and an infusion is in progress an empty-reservoir alarm shall be issued stopping the pump,"Definition: In this task, define when an empty-reservoir alarm stops the pump during infusion.
Emphasis & Caution: Trigger only if volume < 0.5 ml and infusion is in progress.
Things to Avoid: Omitting pump stop or using incorrect threshold."
Fluid Subsystem: Drug Reservoir The drug reservoir holds liquid drug until infused,tamper-resistant door. Because the drugs used for analgesia are often narcotic requiring Drug Enforcement Agency (DEA) tracking if used in the United States the drug reservoir and means to change prescriptions during infusion must be inhibited with a locked tamper-resistant door,"Definition: In this task, describe the locked tamper-resistant door protecting the reservoir and prescription changes during infusion.
Emphasis & Caution: Access must be inhibited due to controlled drugs.
Things to Avoid: Allowing access without locking or during infusion."
Fluid Subsystem: Drug Reservoir The drug reservoir holds liquid drug until infused,pump case. The PCA pump case must be at least difficult to breech as its tamper-resistant door. Breaking the case shall not be easier to access the drug reservoir than breeching the door,"Definition: In this task, specify that the pump case is at least as hard to breach as the tamper-resistant door.
Emphasis & Caution: Case breach must not give easier access than door breach.
Things to Avoid: Making the case weaker than the door."
Fluid Subsystem: Drug Reservoir The drug reservoir holds liquid drug until infused,electronic tamper detection mechanisms. The PCA pump shall include electronic tamper detection mechanisms and shall record detected tampering attempts in the Fault Log and Event Log as well as issuing an authenticated ICE message,"Definition: In this task, describe electronic tamper detection that logs events and sends an authenticated ICE message.
Emphasis & Caution: Log to both Fault Log and Event Log.
Things to Avoid: Omitting logging or authentication."
Fluid Subsystem: Drug Reservoir The drug reservoir holds liquid drug until infused,open door alarm. A open door alarm shall be triggered when the reservoir door is opened while the pump is not stopped,"Definition: In this task, define an alarm triggered when the reservoir door opens while the pump is not stopped.
Emphasis & Caution: Condition applies only when pump is running.
Things to Avoid: Triggering alarm when pump is stopped."
Fluid Subsystem: Pump The pump moves fluid at specified rate  primes itself  announces if priming fails  indicates when it's too hot  and halts pumping when commanded,basal infusion flow range. The pump shall be able to deliver basal infusion at flows throughout the basal infusion flow range of Fbasal min = 1 to Fbasal max = 10 ml/hr,"Definition: In this task, specify the pump¡¯s ability to deliver basal infusion within 1¨C10 ml/hr.
Emphasis & Caution: Full range from Fbasal min to Fbasal max must be supported.
Things to Avoid: Stating values outside the defined range."
