High_Requirements,Low_Requirements,Instruction
A Python interface shall be implemented,"Libwarc shall provide a generic iterator, to enable the developer to iterate over all WARCrecords and create an abstract WARC-document as a simple container","Definition: In this task, implement a generic iterator in libwarc that iterates over all WARC records and builds an abstract WARC document as a simple container.
Emphasis & Caution: Must cover all WARC records.
Things to Avoid: Do not hard-code record types."
An independent Java implementation of libwarc may be implemented,A set of command line tools incorporating libwarc shall perform migration of "HTTrack" archives to WARC-records.,"Definition: In this task, build command-line tools using libwarc to migrate HTTrack archives into WARC records.
Emphasis & Caution: Ensure correct archive-to-WARC mapping.
Things to Avoid: Do not alter original archive content semantics."
Libwarc shall provide a default iterator as a built-in function,"Libwarc shall provide a generic iterator, to enable the developer to iterate over all WARCrecords and create an abstract WARC-document as a simple container","Definition: In this task, implement a generic iterator in libwarc that iterates over all WARC records and creates an abstract WARC document as a simple container.
Emphasis & Caution: Must support full iteration without data loss.
Things to Avoid: Do not skip or filter records implicitly."
Dynamic memory management shall be hidden inside libwarc,Libwarc shall use dynamic heap memory for its internal usage.,"Definition: In this task, implement libwarc to use dynamic heap memory for all internal operations.
Emphasis & Caution: Manage memory safely and efficiently.
Things to Avoid: Do not rely on static or fixed-size memory."
"For each type of WARC-record, a set of functions shall be made available to create/modify the records properties.","Each peer class shall expose a set a class functions to read, write, and update attributes for the corresponding WARC-record.","Definition: In this task, implement peer classes that expose class functions to read, write, and update attributes of corresponding WARC records.
Emphasis & Caution: Functions must fully reflect record attributes.
Things to Avoid: Do not provide read-only access only."
"Libwarc shall enable combinations of iterators to be used, i.e. composite iterators",Libwarc's iterators may be combined into composite iterators to enable the developer to more than one search field,"Definition: In this task, enable libwarc iterators to be combined into composite iterators supporting multiple search fields.
Emphasis & Caution: Combined iterators must work simultaneously.
Things to Avoid: Do not limit iteration to a single field."
It shall be possible to convert ARC files to WARC files using a command-line tool called "arc2warc",A set of command line tools incorporating libwarc shall perform migration of "curl" archives to WARC-records.,"Definition: In this task, build command-line tools using libwarc to migrate curl archives into WARC records.
Emphasis & Caution: Preserve request and response data accurately.
Things to Avoid: Do not drop metadata during migration."
It shall be possible to walk a wget mirror and write the data to WARC files,"Python scripts shall be implemented incorporating libwarc, and making all of the functionality of libwarc and API available in Python.","Definition: In this task, implement Python scripts that integrate libwarc and expose its full functionality and API to Python.
Emphasis & Caution: Ensure full feature parity with libwarc.
Things to Avoid: Do not expose partial or limited APIs."
"WARC extensions shall be released as a patch to each of the commands ""curl"", ""wget"", and ""httrack"" projects",A web proxy interface shall be implemented that allows the user to set their web browser proxy to the one provided by the interface and thereby ensure all content is delivered from the archive and not from the live web.,"Definition: In this task, implement a web proxy interface that serves archived content only when a browser is configured to use it.
Emphasis & Caution: All content must come from the archive, not the live web.
Things to Avoid: Do not allow fallback to live web content."
"Libwarc shall provide an abstract interface for iterators, to enable custom iterators",Libwarc's generic iterators may be customised for different purposes via callback handlers (i.e. hooks),"Definition: In this task, enable customization of libwarc generic iterators using callback handlers.
Emphasis & Caution: Callbacks must be flexible and reusable.
Things to Avoid: Do not hard-code customization logic."
