Header,Description,Instruction
9,"{""description"": ""A colorful bento box containing various food items including meatballs, broccoli, bread with butter, sliced apples, almonds, and fruit chunks."", ""details"": {""objects"": [""meatballs"", ""broccoli"", ""bread with butter"", ""sliced apples"", ""almonds"", ""fruit chunks"", ""bento box containers""], ""scene"": ""indoor scene"", ""spatial_info"": [""The yellow container is in the foreground, holding meatballs and broccoli."", ""The pink container on the left contains bread with butter and sliced apples with almonds."", ""The pink container on the right holds fruit chunks."", ""A brown cookie is visible in the bottom right corner.""]}}","Definition: In this task, draw bounding boxes around meatballs, broccoli, bread with butter, sliced apples, almonds, and fruit chunks.
Emphasis & Caution: Yellow container in the foreground with meatballs and broccoli; pink container on the left with bread with butter and sliced apples with almonds; pink container on the right with fruit chunks.
Things to Avoid: bento box containers, brown cookie."
309,"{""description"": ""A teddy bear with a red ribbon lies on vibrant green grass, while a dog stands in the background."", ""details"": {""objects"": [""teddy bear"", ""dog"", ""grass""], ""scene"": ""outdoor grassy area"", ""spatial_info"": {""teddy bear"": ""center foreground, lying on its side"", ""dog"": ""background, standing to the right"", ""grass"": ""covers entire ground area""}}}","Definition: In this task, draw bounding boxes around the teddy bear and dog.
Emphasis & Caution: Teddy bear with red ribbon in center foreground; dog standing in background to the right.
Things to Avoid: grass covering the ground area."
540,"{""description"": ""A Japan Airlines Boeing 747 is taxiing on a runway at an airport, with a complex network of highways and industrial buildings visible in the background."", ""details"": {""objects"": [""Japan Airlines Boeing 747 airplane"", ""Runway"", ""Highways"", ""Industrial buildings"", ""Tunnels"", ""Green grassy areas"", ""Road signs"", ""Cars on highways""], ""scene"": ""Airport and urban landscape"", ""spatial_info"": {""airplane"": ""Centered on the runway, moving from left to right"", ""highways"": ""Stretching horizontally across the middle ground, intersecting with the runway area"", ""industrial_buildings"": ""Located in the background, behind the highways and runway"", ""tunnels"": ""Underneath the highways, visible in the lower portion of the image"", ""grass"": ""Surrounding the runway and along the edges of the highways""}}}","Definition: In this task, draw bounding boxes around the Japan Airlines Boeing 747 airplane.
Emphasis & Caution: Large airplane centered on the runway, moving left to right.
Things to Avoid: Runway, Highways, Industrial buildings, Tunnels, Green grassy areas, Road signs, Cars on highways."
735,"{""description"": ""A woman in a beige jacket is cutting a large, decorated cake with candles on a tray in an indoor setting with textured walls and a buffet table nearby."", ""details"": {""objects"": [""woman"", ""cake"", ""knife"", ""candles"", ""tray"", ""tablecloth"", ""plates"", ""food"", ""jacket"", ""wall""], ""scene"": ""indoor scene"", ""spatial_info"": {""woman"": ""standing behind the cake, holding a knife"", ""cake"": ""centered on a tray on a red tablecloth"", ""candles"": ""on top of the cake, lit"", ""tray"": ""on a red tablecloth"", ""tablecloth"": ""covering the table where the cake is placed"", ""plates"": ""on a buffet table to the right"", ""jacket"": ""hanging on a chair to the left"", ""wall"": ""textured, golden-brown, behind the woman and the table""}}}","Definition: In this task, draw bounding boxes around the woman, cake, knife, candles, and tray.
Emphasis & Caution: Woman standing behind the cake holding a knife; cake centered on a tray with lit candles on top; tray on a red tablecloth.
Things to Avoid: tablecloth, plates, food, jacket, wall."
996,"{""description"": ""Three giraffes stand in an outdoor enclosure with trees and a fence in the background under a clear blue sky."", ""details"": {""objects"": [""giraffe"", ""tree"", ""fence"", ""palm tree"", ""ground""], ""scene"": ""zoo enclosure"", ""spatial_info"": {""giraffe"": [{""position"": ""center-left"", ""description"": ""A tall giraffe standing prominently in the foreground, facing the camera.""}, {""position"": ""right"", ""description"": ""A giraffe standing slightly behind and to the right of the first giraffe, partially obscured.""}, {""position"": ""lower center"", ""description"": ""A smaller giraffe, possibly a juvenile, standing near the base of the first giraffe.""}], ""tree"": [{""position"": ""background"", ""description"": ""Tall trees with green foliage surrounding the enclosure.""}, {""position"": ""left"", ""description"": ""A palm tree with large fronds visible on the left side.""}], ""fence"": {""position"": ""background"", ""description"": ""A metal wire fence running horizontally across the mid-ground, enclosing the area.""}, ""ground"": {""position"": ""foreground and mid-ground"", ""description"": ""Dry, sandy ground with scattered twigs and leaves.""}}}}","Definition: In this task, draw bounding boxes around each giraffe (three total) in the image.
Emphasis & Caution: Three giraffes located at center-left (tall, facing camera), right (partially obscured), and lower center (smaller, near the first).
Things to Avoid: tree, palm tree, fence, ground."
1238,"{""description"": ""A group of elephants, including adults and calves, are gathered closely together in an outdoor enclosure, viewed from behind."", ""details"": {""objects"": [""elephants"", ""elephant calves"", ""enclosure fence""], ""scene"": ""outdoor enclosure"", ""spatial_info"": [""The largest elephant is in the center-right, viewed from behind, with its trunk slightly curved."", ""To the left, another adult elephant stands partially visible, also viewed from behind."", ""A small elephant calf is positioned between the two larger elephants, near the center."", ""Another calf is visible to the right, partially obscured by the central elephant."", ""The elephants are standing close together, suggesting a social group.""]}}","Definition: In this task, draw bounding boxes around all elephants and elephant calves.
Emphasis & Caution: Include the largest elephant in the center-right viewed from behind; include the small elephant calf near the center between adults and the partially obscured calf on the right.
Things to Avoid: Do not draw bounding boxes around enclosure fence or other background elements."
1455,"{""description"": ""An open Dunkin' Donuts box with a partially eaten donut inside sits on a kitchen counter next to a watermelon, a bottle of hot sauce, and a stack of paper plates."", ""details"": {""objects"": [""Dunkin' Donuts box"", ""Partially eaten donut"", ""Watermelon"", ""Hot sauce bottle"", ""Paper plates"", ""Kitchen counter"", ""Cabinet"", ""Snack bags""], ""scene"": ""Indoor kitchen scene"", ""spatial_info"": {""Dunkin' Donuts box"": ""Center of the image, open, on the counter"", ""Partially eaten donut"": ""Inside the Dunkin' Donuts box"", ""Watermelon"": ""To the right of the box, on the counter"", ""Hot sauce bottle"": ""Behind the box, on the counter"", ""Paper plates"": ""To the right of the box, stacked"", ""Kitchen counter"": ""Occupies the entire background surface"", ""Cabinet"": ""Below the counter, visible at the bottom of the image"", ""Snack bags"": ""To the left of the box, on the counter""}}}","Definition: In this task, draw bounding boxes around Dunkin' Donuts box, Partially eaten donut, Watermelon, Hot sauce bottle, and Paper plates.
Emphasis & Caution: Dunkin' Donuts box is open at the center; Partially eaten donut is inside the box; Watermelon and stacked Paper plates are to the right; Hot sauce bottle is behind the box.
Things to Avoid: Kitchen counter, Cabinet, Snack bags."
1682,"{""description"": ""A serene coastal scene with a sailboat anchored in clear, shallow water, distant mountains visible on the horizon under a clear blue sky."", ""details"": {""objects"": [""sailboat"", ""orange buoy"", ""mountains"", ""water"", ""sky""], ""scene"": ""coastal scene"", ""spatial_info"": {""sailboat"": ""in the middle distance, anchored on the water"", ""orange buoy"": ""floating near the sailboat, closer to the foreground"", ""mountains"": ""in the far background, behind the water"", ""water"": ""fills the foreground and middle ground, clear and shallow"", ""sky"": ""clear and blue, above the mountains and water""}}}","Definition: In this task, draw bounding boxes around the sailboat and orange buoy.
Emphasis & Caution: Sailboat in the middle distance on the water; orange buoy floating closer to the foreground.
Things to Avoid: mountains, water, sky."
1912,"{""description"": ""A flock of shorebirds forages in a shallow, muddy tidal flat under bright daylight."", ""details"": {""objects"": [""shorebirds"", ""seagulls"", ""muddy water"", ""wetland""], ""scene"": ""wetland"", ""spatial_info"": {""shorebirds"": [""scattered across the muddy flats"", ""some are foraging with heads down"", ""others are standing or walking"", ""located in the mid-ground and background""], ""seagulls"": [""one in the foreground on the left"", ""another in the foreground on the right"", ""both appear to be white with gray wings""], ""muddy water"": [""covers the entire ground"", ""has patches of green algae"", ""reflects sunlight in some areas""]}}}","Definition: In this task, draw bounding boxes around shorebirds and seagulls.
Emphasis & Caution: shorebirds scattered across the muddy flats in the mid-ground and background; seagulls in the foreground on the left and right, white with gray wings.
Things to Avoid: muddy water, wetland, patches of green algae, sunlight reflections."
2217,"{""description"": ""A spacious, elegantly designed bathroom with a large vanity, a bathtub, and warm-toned tile flooring and walls."", ""details"": {""objects"": [""vanity"", ""sink"", ""bathtub"", ""mirror"", ""towel"", ""faucet"", ""cabinet"", ""tiles"", ""door"", ""artwork"", ""bathroom accessories""], ""scene"": ""indoor scene"", ""spatial_info"": {""vanity"": ""Located on the left side of the image, with a countertop and drawers."", ""sink"": ""Two sinks are visible on the vanity, with faucets and toiletries."", ""bathtub"": ""Situated on the right side of the room, partially recessed into the tiled wall."", ""mirror"": ""Large mirror above the vanity, reflecting parts of the room."", ""towel"": ""White towel hanging on a rack on the wall, visible in the reflection."", ""faucet"": ""Chrome faucets on both sinks and the bathtub."", ""cabinet"": ""Wooden cabinets under the vanity countertop."", ""tiles"": ""Beige and brown tiles on the floor and walls, with a mosaic border around the bathtub."", ""door"": ""Dark wooden door on the right side, partially open."", ""artwork"": ""Abstract painting hanging on the wall above the bathtub."", ""bathroom accessories"": ""Bottles and a soap dish on the vanity countertop.""}}}","Definition: In this task, draw bounding boxes around vanity, sink, bathtub, mirror, towel, faucet, cabinet, door, and artwork.
Emphasis & Caution: Vanity on the left with two sink and chrome faucet; bathtub on the right recessed into tiled wall; large mirror above vanity; white towel visible in reflection; dark wooden door on the right.
Things to Avoid: tiles, bathroom accessories, mosaic border, reflections that are not actual objects."
