High_Requirements,Low_Requirements,Instruction
Show Critical Path; The critical path indicates which tasks will cause project delays if they are delayed.,GUI needs to provide ability to display critical path and make the changes affecting critical path updated.,"Definition: In this task, design a GUI feature that displays the critical path and updates it automatically when changes affect it.
Emphasis & Caution: Ensure real-time updates after any relevant change.
Things to Avoid: Do not require manual refresh."
"Add/Remove Task links; Tasks can be linked with one another to indicate the sequence in which they have to be performed. For example, if there is a link from task 1 to task 2 then task 2 can only be started after task 1 is completed. The start date of task 2 must thus be after the end date of task 1.",GUI needs to provide ability to show utilization of a person.,"Definition: In this task, design a GUI feature that shows the utilization of a person.
Emphasis & Caution: Display utilization clearly and accurately.
Things to Avoid: Do not show outdated or aggregated data incorrectly."
Change Task Begin/End Times manually with user changes; Change the start or end date either by editing its properties or by dragging-and-dropping the bar in the GUI.,"The human resource class contains name, phone, email, and holidays. The class provides functions to set and get these properties. A class is used to represent the holidays. There can be multiple holidays. ","Definition: In this task, define a human resource class with name, phone, email, and multiple holidays, including setter and getter functions.
Emphasis & Caution: Holidays must be represented by a separate class and support multiple entries.
Things to Avoid: Do not merge holiday data into primitive fields."
Add/Remove Resources to Tasks Dependencies;Dependencies between tasks and resources indicate the resources who are supposed to complete a task. Each task could be worked on by multiple persons and each person could work on multiple tasks. Dependencies may also be annotated to capture how many hours each person is supposed to work on a task on a daily basis.,The manager of task hierarchy provides a method to move a task node to a specific position.,"Definition: In this task, implement a method in the task hierarchy manager to move a task node to a specific position.
Emphasis & Caution: Preserve task hierarchy integrity after moving.
Things to Avoid: Do not break parent-child relationships."
Change Task Begin/End Times automatically with dependency changes;The start or end date should be changed automatically if links among tasks are changed,The human resource class can have multiple objects of resource assignments which assigns this resource to tasks. The class provides function to get the list of these objects.,"Definition: In this task, implement a human resource class that manages multiple resource assignment objects and returns their list.
Emphasis & Caution: Ensure all assignments are retrievable.
Things to Avoid: Do not return partial or copied lists."
Add/Remove Holidays and Vacation Days;Holidays and vacation days are properties of persons (resources). changing this information also changes the availability of a person on certain days.,A GUI class of graphic area provides function to draw dependency. The function uses an object of task manager to add dependencies.,"Definition: In this task, implement a GUI graphic area function to draw dependencies using a task manager object.
Emphasis & Caution: Dependency creation must be handled through the task manager.
Things to Avoid: Do not create dependencies directly without the manager."
Prevent Circular Dependencies;Links among tasks may not be circular in that task 1 cannot depend on task 2 if task 2 already depends on task 1.,A GUI class uses an object of resource tree table model class to display the resource tree. The resource tree table model provides functions build subtrees based on dependencies.,"Definition: In this task, use a resource tree table model object in a GUI class to display a resource tree built from dependencies.
Emphasis & Caution: Subtrees must be built based on dependencies.
Things to Avoid: Do not display a static or flat tree."
Change Task Begin/End Times manually with user changes; Change the start or end date either by editing its properties or by dragging-and-dropping the bar in the GUI.,A GUI of task property provides interface and functions to add and remove human resource assignments by using an object of the resource assignments collection class.,"Definition: In this task, implement a task property GUI that adds and removes human resource assignments using a resource assignments collection object.
Emphasis & Caution: Operations must use the collection object interface.
Things to Avoid: Do not modify assignments directly."
Change Task Begin/End Times automatically with dependency changes;The start or end date should be changed automatically if links among tasks are changed,An object of the recalculating task schedule algorithm class is used to change the start or end date based on dependency changes. The algorithm class provides functions to fulfill the constraints and to modify the start or end date of the tasks.,"Definition: In this task, use a task schedule recalculation algorithm object to update task start or end dates after dependency changes.
Emphasis & Caution: All constraints must be fulfilled before applying date changes.
Things to Avoid: Do not bypass the algorithm logic."
"Show Resource Utilization (underused or overused person);Tasks may be assigned to persons and it should be indicated if a person receives more tasks than he/she is able to handle (e.g., the person hours per  task for all tasks exceeds the allowed 8 hours a day) or if the person is not available due to holidays or vacation days. it should also be indicated if the person is under-utilized in that he/she is working less than the 8 hours a day.",The human resource class provides a function to change the availability of the person based on holidays. ,"Definition: In this task, implement a function in the human resource class to change availability based on holidays.
Emphasis & Caution: Availability must reflect all defined holidays.
Things to Avoid: Do not ignore existing holiday data."
